,축제명,개최장소,축제시작일자,축제종료일자,축제내용,주최기관,전화번호,주소,위도,경도
375,대구화교중화문화축제,종로 화교소학교 및 화교거리,2013-10-18,2013-10-18,무대행사 및 거리행사+ 전시행사 등,대구화교협회,053-661-2177,대구광역시 중구 중앙대로79길 31 (종로2가),35.86904475,128.5920612
376,대구화교중화문화축제,종로 화교소학교 및 화교거리,2014-10-04,2014-10-05,무대행사 및 거리행사+ 전시행사 등,대구화교협회,053-661-2177,대구광역시 중구 중앙대로79길 31 (종로2가),35.86904475,128.5920612
377,대구화교중화문화축제,종로 화교소학교 및 화교거리,2015-10-17,2015-10-18,무대행사 및 거리행사+ 전시행사 등,대구화교협회,053-661-2177,대구광역시 중구 중앙대로79길 31 (종로2가),35.86904475,128.5920612
378,대구화교중화문화축제,종로 화교소학교 및 화교거리,2016-10-22,2016-10-23,무대행사 및 거리행사+ 전시행사 등,대구화교협회,053-661-2177,대구광역시 중구 중앙대로79길 31 (종로2가),35.86904475,128.5920612
379,대구화교중화문화축제,종로 화교소학교 및 화교거리,2017-10-14,2017-10-15,무대행사 및 거리행사+ 전시행사 등,대구화교협회,053-661-2177,대구광역시 중구 중앙대로79길 31 (종로2가),35.86904475,128.5920612
380,대구화교중화문화축제,종로 화교소학교 및 화교거리,2018-10-20,2018-10-21,무대행사 및 거리행사+ 전시행사 등,대구화교협회,053-661-2177,대구광역시 중구 중앙대로79길 31 (종로2가),35.86904475,128.5920612
574,대구화교중화문화축제,종로 화교소학교 및 화교거리,2011-08-30,2011-08-31,무대행사 및 거리행사+ 전시행사 등,대구화교협회,053-661-2177,대구광역시 중구 중앙대로79길 31 (종로2가),35.86904475,128.5920612
75,향촌동수제화골목 2014년「빨간구두 이야기」,향촌동수제화골목 일원,2014-11-15,2014-11-16,무대행사+ 체험행사+ 부대행사 등,대구광역시 수제화협회,053-661-2046,대구광역시 중구 서성로14길 78,35.8728473,128.591844
76,향촌동수제화골목 2015년「빨간구두 이야기」,향촌동수제화골목 일원,2015-05-02,2015-05-03,무대행사+ 체험행사+ 부대행사 등,대구광역시 수제화협회,053-661-2046,대구광역시 중구 서성로14길 78,35.8728473,128.591844
77,향촌동수제화골목 2016년「빨간구두 이야기」,향촌동수제화골목 일원,2016-05-14,2016-05-15,무대행사+ 체험행사+ 부대행사 등,대구광역시 수제화협회,053-661-2046,대구광역시 중구 서성로14길 78,35.8728473,128.591844
78,향촌동수제화골목 2017년「빨간구두 이야기」,향촌동수제화골목 일원,2017-10-28,2017-10-29,무대행사+ 체험행사+ 부대행사 등,대구광역시 수제화협회,053-661-2046,대구광역시 중구 서성로14길 78,35.8728473,128.591844
79,향촌동수제화골목 2018년「빨간구두 이야기」,향촌동수제화골목 일원,2018-10-13,2018-10-14,무대행사+ 체험행사+ 부대행사 등,대구광역시 수제화협회,053-661-2046,대구광역시 중구 서성로14길 78,35.8728473,128.591844
80,향촌동수제화골목 2019년「빨간구두 이야기」,향촌동수제화골목 일원,2019-10-19,2019-10-20,무대행사+ 체험행사+ 부대행사 등,대구광역시 수제화협회,053-661-2046,대구광역시 중구 서성로14길 78,35.8728473,128.591844
81,향촌동수제화골목 2020년「빨간구두 이야기」,향촌동수제화골목 일원,2020-10-31,2020-11-01,비대면 온라인 축제 개최+ 수제화패션쇼+ 행운권 추첨 등,대구광역시 수제화협회,053-661-2046,대구광역시 중구 서성로14길 78,35.8728473,128.591844
48,대구 근대路야행(1회),약령시일원,2018-08-24,2018-08-25,문화(재)시설 오픈하우스+ 전시+ 공연+ 체험+ 강좌+ 투어 등,대구광역시 중구,053-661-2195,대구광역시 중구 달구벌대로415길 49,35.86851636,128.5899085
50,대구 문화재 야행,"약령시, 청라언덕",2019-08-23,2019-08-24,문화(재)시설 오픈하우스+ 전시+ 공연+ 체험+ 강좌+ 투어 등,대구광역시 중구,053-661-2181,대구광역시 중구 달구벌대로415길 49,35.86851636,128.5899085
51,2020 대구 문화재 야행,"약령시, 청라언덕",2020-09-25,2020-09-26,청사초롱 야경 투어+ 전시행사 및 포토존 운영+ 공연 무관중 사전녹화 영상 등 송출,대구광역시 중구,053-661-2195,대구광역시 중구 달구벌대로415길 49,35.86851636,128.5899085
72,2018 대구약령시한방문화축제,약령시(약전골목) 일원,2018-05-03,2018-05-07,경연+ 참여+ 체험+ 전시+ 공연+ 먹거리 등,대구광역시+대구광역시 중구,053-661-2044,대구광역시 중구 달구벌대로415길 49,35.86851636,128.5899085
83,대구 근대路야행,근대골목 일원(청라언덕~계산성당~약령시한의약박물관),2017-08-25,2017-08-26,문화(재)시설 오픈하우스+ 전시+ 공연+ 체험+ 강좌+ 투어 등,대구광역시 중구,053-661-2195,대구광역시 중구 달구벌대로415길 49,35.86851636,128.5899085
836,제27회 부곡온천축제,부곡온천광광특구 일원,2022-05-06,2022-05-08,산신제+온정제+기념식+축하콘서트+힐링둘레길 걷기,(사)부곡온천광광협의회,,경상남도 창녕군 부곡면 거문리 203-1,35.43746252,128.588844
52,대구스트리트 모터 페스티벌,남산동 자동차골목,2017-10-21,2017-10-22,자동차전시+ 레이싱모델쇼+ 공연 등,남산동자동차골목상점가상인회,053-661-3014,대구광역시 중구 명덕로35길 14,35.85747199,128.5883239
53,대구스트리트 모터 페스티벌,남산동 자동차골목,2018-10-06,2018-10-07,자동차전시+ 레이싱모델쇼+ 공연 등,남산동자동차골목상점가상인회,053-661-3014,대구광역시 중구 명덕로35길 14,35.85747199,128.5883239
54,대구스트리트 모터 페스티벌,남산동 자동차골목,2019-05-18,2019-05-19,자동차전시+ 레이싱모델쇼+ 공연 등,남산동자동차골목상점가상인회,053-661-2180,대구광역시 중구 명덕로35길 14,35.85747199,128.5883239
673,오대산문화축전,오대산 월정사,2022-10-07,2022-10-09,산사음악회+전시+불교문화체험,강원도 평창군청,033-339-6800,강원도 평창군 진부면 오대산로 413-28,37.73404014,128.5875956
851,대구 북구 떡볶이 페스티벌,고성동 일대,2023-06-16,2023-06-18,떡볶이 페스티벌,대구광역시 북구청 문화예술과,053-665-2172,대구광역시 북구 고성동3가 2,35.88301935,128.5861543
49,대구 근대路야행(2회),청라언덕,2018-09-07,2018-09-08,문화(재)시설 오픈하우스+ 전시+ 공연+ 체험+ 강좌+ 투어 등,대구광역시 중구,053-661-2195,"대구광역시 중구 달구벌대로2035 (동산동, 동산아파트)",35.8670786,128.5860498
103,영주한국선비문화축제,영주시 선비촌 일원,2022-05-05,2022-05-08,소수서원 사액 봉안레 재현+한복맵시대회 등 한국정신문화의 뿌리 선비정신 알림,경상북도 영주시,054-630-8707,경상북도 영주시 순흥면 청구리 357,36.92847353,128.5834337
166,금호강바람소리길축제,금호강 둔치,2022-09-24,2022-09-25,마칭퍼레이드+금호강 생태전시+체험부스 등,대구광역시 북구 문화예술과,053-665-2172,대구광역시 북구 옥산로 65(침산동),35.8856843,128.5827802
747,논두렁밭두렁축제,경북농업기술원,2021-10-01,2021-10-31,허수아비 전시회+체험프로그램+버스킹 등,강북풀뿌리단체협의회,053-326-0645,대구광역시 북구 옥산로 65(침산동),35.8856843,128.5827802
866,금호강바람소리길축제,금호강 둔치,2021-10-02,2021-10-03,마칭퍼레이드+금호강 생태전시+체험부스 등,대구광역시 북구 문화예술과,053-665-2172,대구광역시 북구 옥산로 65(침산동),35.8856843,128.5827802
848,해맞이 행사,오봉산 등,2023-01-01,2023-01-01,"새해 소원빌기 행사+새해안녕기원행사,해맞이공연+먹거리제공 등",공모사업,053-665-2795,대구광역시 북구 침산동 1643-45,35.89094921,128.5827398
46,거제 섬꽃축제,거제시 농업개발원,2022-10-29,2022-11-06,꽃+문화+사람이 어우러지는 가을꽃 축제이다. 주행사로는 국화분재 전시+힐링허브랜드+가을꽃 조형물 전시+테마꽃동산+국화소품+실증시험온실+화목류시험포+난지과수원 등이 있다.,거제시농업기술센터 농업관광과,055-639-6443,경상남도 거제시 거제면 거제남서로 3577,34.85646488,128.5791279
804,달성토성마을축제,달성토성 둘레길,2021-04-24,2021-04-24,우리마을 소개+ 체험 전시마당+ 문화공연 등,달성토성마을골목축제 조직위원회,053-663-2181,대구광역시 서구 국채보상로 81길 43,35.8758308,128.5747396
810,마산국화축제,마산해양신도시 및 원도심 일원,2022-10-29,2022-11-09,국화작품전시+공연,경상남도 창원시,,경상남도 창원시 마산합포구 해안대로 180,35.19164153,128.5677047
862,달구벌목민관축제,서구 일대,2021-10-01,2021-10-31,달구벌목민관 부임행차 재현 퍼레이드+달구벌 목민관 추원제,대구광역시 서구 문화홍보과,053-663-2184,대구광역시 서구 국채보상로 257(평리동),35.87232184,128.5592911
807,달구벌목민관축제,서구 일대,2019-10-13,2019-10-13,달구벌목민관 부임 행차 퍼레이드 등,대구광역시 서구청,053-663-2181,대구광역시 서구 국채보상로 257,35.87232184,128.5592204
672,평창송어축제,진부면 오대천일원,2022-12-30,2023-01-29,송어얼음낚시+송어맨손잡기,강원도 평창군청,033-336-4000,강원도 평창군 진부면 경강로 3562,37.63321778,128.5570396
604,평창송어축제,진부면 오대천일원,2022-12-28,2023-02-02,송어얼음낚시+송어맨손잡기,강원도 평창군,033-336-4000,강원도 평창군 진부면 경강로 3562,37.6332195,128.5570386
806,미소&행복 구민축제,구민운동장,2019-10-13,2019-10-13,구민화합경기+ 구민가요제 등,대구광역시 서구문화원,053-663-2181,대구광역시 서구 당산로 403,35.87279161,128.545577
805,가족사랑 아이스축제,이현공원물놀이장,2019-07-27,2019-07-27,온가족 참여 체험 프로그램+ 플리마켓 및 체험부스 등,공모 선정,053-663-2181,대구광역시 서구 문화로 122,35.873636,128.5454766
749,장미꽃 필 무렵,이곡장미공원,2021-05-20,2021-05-22,축하콘서트+버스킹 공연+장미체험부스 운영,재단법인달서문화재단,053-584-9712,대구광역시 달서구 학산로 45(월성동),35.82991524,128.5328365
808,해맞이축제,와룡산 상리봉 정상,2019-01-01,2019-01-01,전통문화공연+ 성악공연+ 해맞이 퍼포먼스+ 떡국나눔,대구광역시 서구청,053-663-2181,대구광역시 서구 상리동 산 253-2,35.88605833,128.5229054
1306,희망달서 큰잔치,달서아트센터,2023-10-13,2023-10-15,희망가득체험부스 + 다문화 어울림제 + 축하 콘서트 등,(재)달서문화재단,053-584-9711,대구광역시 달서구 문화회관길 160(장기동),35.84342427,128.5228246
732,선사문화체험축제,한샘청동공원,2023-05-12,2023-05-13,선사테마축제 및 체험프로그램 운영 등,달서구문화원,053-667-2194,대구광역시 달서구 대천동 353-5,35.81951349,128.5187423
115,장미꽃 필(feel)무렵,이곡장미공원,2023-05-19,2023-05-21,움직이는 포토존 + 장미꽃 홍보단 + 장미 시화전 + 체험 프로그램 운영,(재)달서문화재단,053-584-9771,대구광역시 달서구 이곡동 1306-6,35.85779894,128.5147832
44,청마포도축제,둔덕면 둔덕시골 축제,2022-08-27,2022-08-28,둔덕골 거봉포도를 테마로 한 체험 프로그램+지역농산물 판매+문화행사 및 민속체험,청마포도축제추진위원회,055-639-6382,경상남도 거제시 둔덕면 청마로 159,34.85232978,128.510722
839,제5회 창녕양파가요제,창녕공설운동장 특설무대,2022-09-03,2022-09-03,경연팀 공연+초대가수공연,경상남도 창녕군청,,경상남도 창녕군 창녕읍 창녕대로 305,35.52088133,128.5049206
716,창원진동불꽃낙화축제,창원진동면 광암항,2021-12-11,2021-12-11,축하공연+개막식+불꽃낙화 점화,창원진동미더덕축제위원회+창원진동불꽃낙화축제위원회,,경상남도 창원시 마산합포구 진동면 광암해안길16-1,35.10418995,128.4971465
838,창녕 문화재 야행(가소로운 비사벌),"창녕천 일원(술정리동삼층석탑, 만옥정공원, 석빙고 공원)",2022-08-19,2022-08-21,창녕 문화재 야행 행사+야간조명+먹거리및프리마켓,경상남도 창녕군청,,경상남도 창녕군 창녕읍 교하리 263-1,35.53941008,128.4971008
840,제36회 우포따오기와 함께하는 비사벌문화제,창녕천 일원,2022-10-07,2022-10-09,비사벌문화행렬+향토기양제+보부상 장터+드론쇼,경상남도 창녕군청,,경상남도 창녕군 창녕읍 교하리 263-1,35.53941008,128.4971008
788,제24회 단양온달문화축제,영춘면 온달관광지 및 단양읍 일원,2022-09-30,2022-10-02,제24회 단양온달문화축제,단양문화원,043-420-2552,충청북도 단양군 영춘면 온달로 23,37.06295564,128.4929221
837,제11회 산토끼와 따오기가 함께하는 창작동요제,창녕문화예술회관 대공연장,2022-07-29,2022-07-30,동요노래부르기 대회+창작동요제,경상남도 창녕군청,,경상남도 창녕군 창녕읍 우포2로 1189-25,35.54473636,128.4902051
101,소백산철쭉제,영주시 소백산 일원,2022-05-28,2022-05-29,소백산 산신제+죽령옛길걷기+소백산 철쭉 등반대회 등 소백산 철쭉 홍조,경상북도 영주시,054-630-8707,경상북도 영주시 풍기읍 수철리 산 86-1,36.91240318,128.4706212
112,영월동강뗏목축제,동강둔치 일원,2022-07-28,2022-07-30,전통뗏목시연+맨손송어잡기+래프팅,강원도 영월군,033-375-6353,강원도 영월군 영월읍 하송리 61-11,37.17968547,128.4698463
110,단종문화제,장릉 및 영월읍 일원,2022-04-29,2022-05-01,조신시대국장재현+정순왕후선발대회+야간칡줄다리기,강원도 영월군,033-375-6353,강원도 영월군 영월읍 단종로 24,37.18609549,128.4681825
825,고성군민의 날 및 수성문화제,고성종합운동장외 부대시설,2021-09-22,2022-09-24,수성제례+군민의 날 행사,고성군수성문화제위원회,,강원도 고성군 간성읍 수성로 87,38.37632274,128.4650421
111,동강국제사진제,동강사진박물관,2022-07-22,2022-10-09,동강사진상+워크숍+사진예술전시,강원도 영월군,033-375-6353,강원도 영월군 영월읍 영월로 1909-10,37.18193994,128.4615511
750,달성 100대 피아노,사문진 나루터,2021-10-01,2021-10-31,100인 피아니스트 공연+유명 아티스트 초청 및 협연,대구광역시 달성군 문화체육과,053-668-2172,대구광역시 달성군 논공읍 달성군청로 33,35.77466287,128.4313916
251,통영한산대첩축제,통영 삼도수군통제영 및 통영시 일원,2022-08-06,2022-08-14,고유제+군점+이순신장군 행렬+한산대첩 재현+공중한산해전+김한민감독 초청강연,경상남도 통영시,055-650-4532,경상남도 통영시 세병로 27(문화동),34.84715495,128.423489
1170,2023 통영한산대첩축제,통영 삼도수군통제영 및 통영시 일원,2023-08-03,2023-08-12,고유제+군점+이순신장군 행렬+한산대첩 재현+학술발표회+통제영무과 체험마당,경상남도 통영시,055-650-4532,경상남도 통영시 세병로 27(문화동),34.84715495,128.423489
677,평창농악축제,용평면 장평리 일원,2022-09-02,2022-09-05,전국 농악 공연 + 민속놀이 체험,강원도 평창군청,033-332-4333,강원도 평창군 용평면 갈정지길 7,37.58939405,128.4160143
1067,당항포대첩축제,당항포관광지,2019-04-26,2019-04-28,"당항포대첩 재연, 공연등 다양한 문화행사",경상남도 고성군,055-670-4505,경상남도 고성군 회화면 당항만로 1116,35.05322615,128.3920276
1245,비산나루터 문화축제,비산나루터 체육공원,2023-10-01,2023-10-31,공연+체험+플리마켓,비산동체육회,,경상북도 구미시 비산동 1,36.12390586,128.3839118
676,평창백일홍축제,평창읍 평창강 일원,2022-09-06,2022-09-12,백일홍 산책길 걷기 + 떡메치기 체험,강원도 평창군청,033-335-6033,강원도 평창군 평창읍 제방길 81,37.36086086,128.3828721
675,평창효석문화제,봉평면 효석문화마을 일원,2022-09-03,2022-09-12,효석 백일장+문학100리길 걷기 등,강원도 평창군청,033-335-2323,강원도 평창군 봉평면 원길리 765-5,37.61309823,128.3709801
1268,단양온달문화축제,온달관광지 및 단양읍 일원,2023-10-06,2023-10-09,온달장군출정식+온달평강퍼레이드+국악버스킹+고구려복식체험 등,온달문화축제추진위원회,043-420-2552,충청북도 단양군 단양읍 중앙1로 10,36.98455598,128.3663012
869,구미 푸드페스티벌,송정동 복개천,2023-10-28,2023-10-29,공연+푸드존,경상북도 구미시청,054-480-5592,경상북도 구미시 송정동 505,36.11616508,128.3491387
1244,구미 독서문화 축제,구미시립도서관 + 형곡공원,2023-10-01,2023-10-31,전시+특강+체험+공연,경상북도 구미시청,054-480-4674,경상북도 구미시 경은로 85,36.1137978,128.3352215
1248,구미 라면축제,구미캠핑장 및 구미역(원평동)일원,2023-11-10,2023-11-12,공연+푸드존,경상북도 구미시청,054-480-2652,경상북도 구미시 원남로 8길 13,36.12629339,128.3309974
1247,구미 청춘 금오천 2.4km,금오천,2023-03-31,2023-04-04,공연+체험+마켓,경상북도 구미시청,054-451-0414,경상북도 구미시 남통동 414-34,36.12217559,128.3224418
1197,문경오미자축제,동로면 적성리 금천둔지 일원,2022-09-16,2022-09-18,문경오미자 홍보,경상북도 문경시청,054-571-7677,경상북도 문경시 동로면 노은2길 4,36.7715572,128.3153048
1246,구미한가위 전통연희축제,금오산도립공원 분수광장,2023-09-29,2023-09-30,공연+체험,(사)한국전통연희단체 총연합회 경상북도지회,054-457-1082,경상북도 구미시 남통동 289-3,36.11125615,128.3139126
674,계촌클래식축제,방림면 계촌리 계촌마을 일원,2022-08-27,2022-08-28,토크콘서트+재즈콘서트 등 클래식 공연,정몽구 재단 + 강원도 평창군청,070-7781-4847,강원도 평창군 방림면 계촌리 1440,37.4530586,128.3059711
187,삼강주막나루터축제,삼강문화단지,2023-09-29,2023-10-01,K-세일즈맨의 하루+보부상운동회,경상북도 예천군,054-650-6031,경상북도 예천군 풍양면 삼강리길 33,36.5638688,128.2992955
867,성주생명문화축제 성주참외페스티벌,성주군 성주읍 성밖숲 일원,2019-05-16,2019-05-19,"생명선포식, 개막식(주제 공연, 축하 가수 공연), 참외가요제, MBC태교음악회, 경상북도드림페스티벌, 태봉안행차재현 등",성주군 축제추진위원회,054-930-6763,경상북도 성주군 성주읍 성밖숲길 30,35.91576102,128.2800492
723,대가야체험축제,대가야박물관+ 대가야역사테마관광지+ 대가야문화누리+ 관내 일원,2022-05-05,2022-05-08,"36개 체험프로그램, 이조년 전국백일장 등 연계행사, 대가야박물관 기획특별전 등 부대행사, 역사재현극 등",고령군,054-950-6424,경상북도 고령군 대가야읍 대가야로 1216,35.72008225,128.259677
977,2016 대가야체험축제,"대가야박물관, 대가야역사테마관광지, 대가야문화누리, 관내 일원",2016-04-07,2016-04-10,"36개 체험프로그램, 이조년 전국백일장 등 연계행사, 대가야박물관 기획특별전 등 부대행사, 역사재현극 등",고령군,054-950-6424,경상북도 고령군 대가야읍 대가야로 1216,35.72008225,128.259677
988,제천국제음악영화제,제천시 일원,2023-08-10,2023-08-15,음악영화제,제천국제음악영화제집행위원회,043-646-2242,충청북도 제천시 의림대로12길 14-1,37.1493417,128.2160865
877,둔내고랭지토마토축제,둔내종합체육공원,2022-08-13,2022-08-15,토마토풀장+향토음식체험 등,강원도 횡성군 둔내면행정복지센터,033-340-2774,강원도 횡성군 둔내면 경강로 4708,37.516751,128.2137118
989,제천의병제,자양영당 등,2023-10-20,2022-10-22,의병제,제천문화원,043-642-3646,충청북도 제천시 의림대로 125,37.13923321,128.210774
1126,합천바캉스축제,정양레포츠공원,2023-07-29,2023-08-06,전국에서 가장 HOT한 합천에서 가족과 함께하는 바캉스,경상남도 합천군청,055-930-4666,경상남도 합천군 대양면 동부로 39-19,35.5573152,128.1675442
1012,함창명주페스티벌,명주테마공원,2018-09-07,2018-09-09,"누에고치 체험, 천연염색 등",경상북도 상주시청,054-531-9763,경상북도 상주시 함창읍 무운로 1593,36.5764616,128.1599209
1013,오감만족힐링페스티벌,경천섬 일원,2020-10-09,2020-11-08,"오감을 만족시키는 경천섬 가을여행 연출 및다양한 프로그램 전시, 체험, 공연, 경연  등",경상북도 상주시청,054-537-7108,경상북도 상주시 상산로 223,36.41138351,128.1587369
879,안흥찐빵축제,안흥찐빵모락모락마을 일원,2022-10-07,2022-10-09,안흥찐빵 시식 및 홍보+농경문화 체험+먹거리장터운영 등,강원도 횡성군 안흥면행정복지센터,033-340-2742,강원도 횡성군 안흥면 주천강로 1868,37.40978635,128.1554843
878,횡성더덕축제,청일면 유동3리 농거리축제장,2022-08-26,2022-08-28,더덕캐기체험+더덕품평회 등,강원도 횡성군 청일면행정복지센터,033-340-2832,강원도 횡성군 청일면 유동로 17,37.58392059,128.1502908
519,한국저작권위원회 2021년 11월 무료 온라인 교육 안내,온라인,2021-11-01,2021-11-30,2021년 한국저작권위원회 원격(온라인) 저작권 교육,한국저작권위원회,055-792-0228,경상남도 진주시 충의로 19,35.17824568,128.146167
1004,합천기록문화축제,대장경테마파크,2023-10-21,2023-11-05,전시 및 공연 등 기록문화를 느낄 수 있는 축제,경상남도 합천군청,055-930-4697,경상남도 합천군 가야면 가야산로 1160,35.76749785,128.1365362
295,제5회 인제가을꽃축제,용대관광지 일원,2023-09-22,2023-10-22,가을꽃축제,인제군문화재단,1577-8924,강원도 인제군 북면 용대리 1821-1 일원,37.99772638,128.098499
619,김천국제가족연극제,김천문화예술회관,2022-07-29,2022-08-07,연극공연,경상북도 김천시청,054-439-8245,경상북도 김천시 운동장길 3 김천문화예술회관,36.13824055,128.088634
196,진주남강유등축제,진주성 및 진주남강일원,2022-10-10,2022-10-31,"개제식(초혼점등), 소망등 달기, 추억의 유등띄우기, 창작등 전시, 진주성 둘레길등 전시, 한국의 등·세계풍물등 전시 등",경상남도 진주시청+진주문화예술재단,055-755-9111,경상남도 진주시 강남로 291번길 10,35.18725548,128.0855326
795,문경찻사발축제,문경새재 오픈세트장,2022-04-30,2022-05-08,대한민국 도예 명장전 등 전시행사+왕의 찻자리 등 체험행사+사기장의 하루+차담이 어드벤처 등 특별행사,경상북도 문경시청,054-550-6395,경상북도 문경시 문경읍 문경대로 2416,36.74062871,128.0845639
1196,문경약돌한우축제,문경새재 야외공연장일원,2022-11-04,2022-11-06,문경약돌한우 홍보,경상북도 문경시청,054-571-7677,경상북도 문경시 문경읍 새재로932,36.76160207,128.0769905
1198,문경사과축제,문경새재 야외공연장일원,2022-10-15,2022-10-31,문경사과 홍보,경상북도 문경시청,054-571-7677,경상북도 문경시 문경읍 새재로932,36.76160207,128.0769905
1195,문경찻사발축제,문경새재 오픈세트장,2023-04-29,2023-05-07,"전시행사 : 도예명장 특별전, 국제 교류전, 문경도자기 한상 차림전 등체험행사 : 찻사발 빚기·그리기, 찻사발원픽패스, 황금찻사발 찾기 등특별행사 : 생활자기·명품도자기 경매, 아름다운 찻자리, 사기장의 하루 등",경상북도 문경시청,054-550-6395,경상북도 문경시 문경읍 새재로 1037,36.77071342,128.0739524
1124,합천벚꽃마라톤대회,백리벚꽃길 코스,2023-04-02,2023-04-02,벚꽃길에서 펼쳐지는 달리미들의 대향연,경상남도 합천군청,055-930-4943,경상남도 합천군 대병면 합천호수로 197,35.531585,128.0295197
1113,황매산 억새 축제,황매산군립공원,2023-10-14,2023-10-29,황매산 억새를 즐기는 축제,경상남도 합천군청,055-930-4753,경상남도 합천군 가회면 황매산공원길 4,35.48184913,128.0037495
1125,황매산 철쭉제,황매산군립공원,2023-04-29,2023-05-14,황매산 철쭉을 즐기는 축제,경상남도 합천군청,055-930-4753,경상남도 합천군 가회면 황매산공원길 4,35.48184913,128.0037495
274,치악산왕발걸음축제,치악산 일원(구.드림랜드 주차장),2023-09-09,2023-09-09,걷기행사+작은음악회 등,치악산왕발걸음축제추진위원회,033-734-5966,강원도 원주시 소초면 평장동길 86-16,37.4186377,128.0031734
5,횡성한우축제,횡성종합운동장,2022-09-30,2022-10-04,한우구이터+횡성한우 발전포럼+횡성빛축제 등,강원도 횡성군청,033-340-5712,강원도 횡성군 횡성읍 문화체육로 57,37.49608715,127.9891498
880,횡성한우축제,횡성종합운동장,2022-09-30,2022-10-04,한우구이터+횡성한우 발전포럼+횡성빛축제 등,강원도 횡성군청,033-340-5712,강원도 횡성군 횡성읍 문화체육로 57,37.49608715,127.9891498
1001,도솔산지구전투 전승행사,도솔산전적비,2022-06-19,2022-06-19,추모식,(사)양구군축제위원회+해병대전우회중앙회+해병대사령부,033-480-2230,강원도 양구군 양구읍 박수근로 366-33,38.10632441,127.981517
1174,달맞이축제,"국토정중앙점, 레포츠공원(평화공업사 앞 주차장)",2020-02-08,2020-02-08,"국토정중앙행사, 전통달맞이행사, 민속놀이경연,상설행사 등",양구문화원,033-480-2510,강원도 양구군 양구읍 박수근로 366-33,38.10632441,127.981517
1363,제15회 불교문화제전,성철공원,2023-10-14,2023-10-14,음악회+불교문화체험 및 전시,경상남도 산청군청,055-970-6401,경상남도 산청군 단성면 묵곡리 949,35.277656,127.964971
100,원주 평생학습 축제,원주문화원 일원,2023-10-06,2023-10-07,개막식+공연+전시+체험 등,원주시 평생교육원 학습관,033-737-3808,강원도 원주시 원일로 139,37.3515851,127.9467947
6,원주다이내믹댄싱카니발,댄싱공연장 및 원일로 일원,2022-10-01,2022-10-03,"댄싱경연, 문화예술공연, 각종 체험 등",강원도 원주시청+제36사단,033-737-5132,강원도 원주시 단구로 170,37.33642953,127.9462614
95,치악산복숭아축제,댄싱공연장 일원,2023-08-01,2023-08-01,지역 복숭아 판매+품평회+기타 등,치악산복숭아 원주시협의회,033-737-4131,강원도 원주시 단구로 170,37.3364295,127.9462614
96,2023 원주 댄싱카니발,댄싱공연장 일원,2023-09-22,2023-09-24,댄싱경연+문화예술공연+각종 체험 등,강원도 원주시청,033-737-5123,강원도 원주시 단구로 170,37.3364295,127.9462614
98,치악산한우축제,댄싱공연장 주차장,2023-10-01,2023-10-01,지역 한우 판매 등,농업기술센터 축산과,033-737-4195,강원도 원주시 단구로 170,37.3364295,127.9462614
99,원주 독서대전,시립중앙도서관,2023-10-01,2023-10-01,학술토론+전시체험 등,평생교육원 시립중앙 도서관,033-737-3817,강원도 원주시 단구로 170,37.3364295,127.9462614
97,원주삼토페스티벌,종합운동장 일원,2023-09-14,2023-09-17,농촌문화체험+지역먹거리 판매 등,강원도 원주시청+원주시농업인단체연합회,033-737-4155,강원도 원주시 서원대로 311,37.3368381,127.943687
1384,치악산배축제,원주원예농협 하나로마트광장,2023-11-01,2023-11-01,지역 배 판매+품평회 등,치악산배원주시협의회,033-737-4131,강원도 원주시 무실로 182,37.3414432,127.9392853
1005,충주DIVE페스티벌,충주탄금호국제조정경기장~중앙탑공원 일원,2023-06-15,2023-06-18,수상불꽃+뮤직페스티벌+드론쇼+키즈파크 운영,충청북도 충주시청,043-851-7981,충청북도 충주시 중앙로 128,36.97061868,127.9372208
275,제25회 원주한지문화제,원주한지테마파크 일원,2023-05-05,2023-05-14,기획전시+온라인체험 등,한지개발원,033-734-4739,강원도 원주시 한지공원길 151,37.3343755,127.9353957
276,제16회 용수골꽃양귀비축제,용수골꽃농장,2023-05-23,2023-06-11,꽃밭관람+포토존 이용+기념품 판매 등,용수골꽃양귀비축제추진위원회,033-764-4443,강원도 원주시 한지공원길 151,37.3343755,127.9353957
622,한지문화제,원주한지테마파크 및 간현관광지 일원,2022-05-05,2022-05-31,"기획전시, 온라인체험 등",원주한지개발원,033-734-4739,강원도 원주시 한지공원길 151,37.33437553,127.9353957
1362,제17회 기산국악제전,기산국악당+동의보감촌,2023-09-22,2023-09-23,추모제+박헌봉 국악상 시상+국악한마당공연+전국국악경연대회,경상남도 산청군청,055-970-6401,경상남도 산청군 단성면 상동길 69,35.27616022,127.934248
277,제21회 장미축제,장미공원,2023-05-30,2023-06-01,장미가요제 등,장미축제위원회,033-000-0000,강원도 원주시 장미공원길 67-16,37.34588179,127.9311849
113,2023년 제15회 대한민국 청소년 트로트 가요제,스포츠파크 일원,2023-05-20,2023-05-20,청소년 트로트 가요제 결선,(사)한국예술문화단체총연합회 거창지회,055-943-0123,경상남도 거창군 거창읍 중앙로 103,35.68667584,127.9095332
